iter	Passed	Remaining
0	12	2503
1	25	2538
2	34	2241
3	41	2037
4	50	1952
5	57	1864
6	65	1795
7	72	1742
8	80	1706
9	87	1668
10	97	1674
11	105	1656112	113	1631113	121	1608114	128	1588115	136	1570116	144	1558
17	152	1542
18	161	1536
19	168	1516
20	176	1505
21	184	1492
22	192	1482
23	200	1472
24	208	1458
25	216	1448
26	223	1433
27	232	1427
28	240	1416
29	247	1404
30	255	1392
31	262	1378
32	269	1366
33	277	1354
34	285	1345
35	292	1332
36	299	1320
37	307	1308
38	313	1294
39	320	1283
40	327	1271
41	335	1260
42	342	1249
43	349	1238
44	356	1227
45	364	1219
46	371	1210
47	379	1202
48	387	1195
49	395	1185
50	402	1175
51	409	1166
52	416	1156
53	424	1147
54	432	1139
55	439	1130
56	447	1121
57	454	1111
58	461	1102
59	468	1093
60	475	1084
61	483	1076
62	490	1067
63	498	1058
64	505	1049
65	512	1041
66	520	1033
67	527	1024
68	534	1015
69	541	1005
70	548	996
71	555	988
72	563	980
73	571	972
74	578	963
75	585	955
76	592	946
77	600	938
78	607	931
79	79	626	980	80	633	981	81	640	982	82	648	983	83	656	984	84	663	885	85	670	886	86	678	887	87	686	888	88	693	889	89	701	890	90	709	891	91	722	892	92	732	893	93	741	894	94	752	895	95	763	896	96	772	897	97	781	898	783	799
99	791	791
100	799	783
101	809	777
102	816	769
103	824	761
104	831	752
105	839	744
106	846	736
107	853	727
108	860	718
109109	879	7110110	887	7111111	894	7112112	903	6113113	912	6114114	919	6115115	927	6116116	934	6117	934	649
118	942	641
119	950	633
120	959	626
121	968	618
122	975	610
123	984	603
124	993	596
125	1007	591
126126	1025	5127127	1033	5128128	1041	5129129	1050	5130130	1058	5131	1056	544
132	1064	536
133133	1082	5134134	1090	5135135	1098	5136136	1106	5137137	1114	5138138	1122	4139139	1135	4140140	1145	4141141	1152	4142142	1160	4143143	1167	4144144	1174	4145145	1182	4146146	1189	4147147	1196	4148148	1203	4149149	1211	4150150	1219	395
151	1226	387
152	1234	379
153	1241	3154154	1249	362
155	1256	354
156	1263	346
157	1270	337
158	1277	329
159	1284	321
160	1291	312
161	1298	304
162	1306	296
163	1313	288
164	1320	280
165	1328	272
166	1335	263
167	1343	255
168	1350	247
169	1357	239
170	1364	231
171	1372	223
172	1379	215
173	1386	207
174	1393	199
175	1401	191
176	1409	183
177	1417	175
178	1424	167
179	1431	159
180	1439	151
181	1446	143
182	1452	134
183	1460	126
184	1466	118
185	1473	110
186	1481	102
187	1487	94
188	1495	87
189	1501	79
190	1508	71
191	1514	63
192	1521	55
193	1527	47
194	1535	39
195	1541	31
196	1549	23
197	1556	15
198	1562	7
199	1569	0
